context,from,to,weight
cervical-cancer-prevention-week-2018,aditishasmd,AACRFoundation,1
time-to-talk-day-2018,henryblowery,The_UnSilent_,1
jeans-for-genes-day,1derful_dolan,MrsAnneTwist,1
national-dementia-carers-2018,allisondetoni,alzheimerssoc,1
carers-week-2018,yvonneg75441059,SunderlandCCG,1
carers-week-2018,petermccue1,theSNP,1
elf-day,roshnip77,thesovrangroup,1
nutrition-and-hydration-week-2018,sianmorganb,DrEleni,1
ocd-awareness-week-2018,witchdaggahh,lwbean,1
ovarian-cancer-awareness-month-2018,ninanannaritv,FelicityBarrTV,1
national-dementia-carers-2018,rstanden1,DementiaUK,1
16-days-of-action-2018,ywcacanberra,phumzileunwomen,1
nutrition-and-hydration-week-2018,helshow1,eg_nurse,1
no-smoking-day-2018,ndchampions,KICK_IT_NOW,1
jeans-for-genes-day,kaka123little,MrsAnneTwist,1
elf-day,azream,plattsnisbett,1
mnd-awareness-month-2018,dooleycatherine,Staceyk51,1
ovarian-cancer-awareness-month-2018,house_rushett,NHSEngland,1
time-to-talk-day-2018,rosiebsteele,beeing_sophie,1
stress-awareness-day,akazeeox,WoodlandTrust,1
stress-awareness-day,camposbalance,Kabbalahinfo,1
elf-day,jessthompkemp,heartofacutemed,1
mens-health-week-2018,melaniethomas1,mac_cancerinfo,1
elf-day,leeleerawlings,AWPNHS,1
national-dementia-carers-2018,hevsk,alzheimerssoc,1
cervical-cancer-prevention-week-2018,julieckiefer,UtahDepOfHealth,1
elf-day,davepick73,EddieStobartCom,1
wear-purple-for-jia-2018,deanmhodgson,madyogs,1
mental-health-awareness-week-2018,leoniermf,JamesMelville,1
jeans-for-genes-day,istudyroses,MrsAnneTwist,1
mnd-awareness-month-2018,jaxkaines,BAdvertiser,1
mnd-awareness-month-2018,bombshells202a,MNDeventsPlym,2
ocd-awareness-week-2018,acxdtexrs,lwbean,1
cervical-cancer-prevention-week-2018,efferentcares,dokilink,2
dementia-action-week-2018,slbaldry,gbtpo,1
16-days-of-action-2018,laurachamberla3,RodiJannat,1
16-days-of-action-2018,sandrah63192976,unwomenasia,1
national-dyslexia-week-2018,karenalred,Jisc,1
16-days-of-action-2018,mohammad_dhawi,AmnestyAR,1
mental-health-awareness-week-2018,boudreaubooks,JamesMelville,1
time-to-talk-day-2018,steveda92083137,2020Comms,1
mens-health-week-2018,levendaki17,AmbryGenetics,1
mnd-awareness-month-2018,coleman_21,Vicky_100K4MNDA,1
national-dyslexia-week-2018,mlthirlaway,thinkpix_suze,1
elf-day,mikute777,thesovrangroup,1
jeans-for-genes-day,areli_cisnerosh,MrsAnneTwist,1
national-dyslexia-week-2018,tiassl,Booktrust,1
epilepsy-awareness-purple-day-2018,jt_means,epilepsyaction,1
no-smoking-day-2018,saranelsonrgn,datt_colette,1
no-smoking-day-2018,juliecdurrant,angliaresearch,1
eating-disorder-awareness-week-2018,child_leeds,YoungMindsUK,1
ocd-awareness-week-2018,phinsvsviolence,lwbean,1
national-dyslexia-week-2018,gcisdkunkel,TheLifeDyslexic,1
wear-purple-for-jia-2018,rheumatologyuk,Ed_Miliband,1
mnd-awareness-month-2018,amandaapperley,Moz0373Runner,1
carers-week-2018,james20327963,theSNP,1
dementia-action-week-2018,nhsleicester,west_lei_ccg,1
stress-awareness-day,theflourished1,StandUpMag_,1
time-to-talk-day-2018,cipd_mersey,ljmu_HR,1
dementia-action-week-2018,careinstockport,StockportNHS,1
ocd-awareness-week-2018,princeofviverna,lwbean,1
dementia-action-week-2018,lydiakerr,CWAMusselburgh,1
dementia-action-week-2018,nickyconnorfife,Livvylives72,1
jeans-for-genes-day,dazza70smith,JeansforGenes,2
mental-health-awareness-week-2018,danwoodward1,JamesMelville,1
time-to-talk-day-2018,phukansatyabrat,amystruth12,1
time-to-talk-day-2018,clarisssssse,djetuah,1
brain-awareness-week-2018,superjunkhead,NeuroscienceNew,1
brain-awareness-week-2018,thierryrouby,ScienceNews,1
eating-disorder-awareness-week-2018,harmlessuk,clrgeorgiapower,1
time-to-talk-day-2018,manda_why,TheSportsman,1
mens-health-week-2018,910aw_dph,afterdeployment,1
mental-health-awareness-week-2018,attackingleaves,JamesMelville,1
rare-disease-day-2018,cozy1950,MelissaTweets,1
mental-health-awareness-week-2018,removethecheeto,thoughtclimber,1
mens-health-week-2018,maternitychamps,mentalhealth,1
mental-health-awareness-week-2018,m___t_____,JamesMelville,1
mens-health-week-2018,coolmentoring,kloewypride,1
time-to-talk-day-2018,apjs87,eliistender10,1
mens-health-week-2018,valturner11,MensHealthForum,1
16-days-of-action-2018,canhcza,CanadaDev,1
carers-week-2018,hannanruth,CarersLeeds,1
ocd-awareness-week-2018,vulpix,lwbean,1
brain-awareness-week-2018,alzgirllori,FrontiersIn,1
national-dyslexia-week-2018,dyslexiascotinv,Wordsharkv5,1
rare-disease-day-2018,irishmecfsassoc,PlzSolveCFS,1
16-days-of-action-2018,ibrahimwestwick,Doyna_sn,1
wear-purple-for-jia-2018,sirpaget,lhaselip,1
rare-disease-day-2018,seattlehopegala,NCIDirector,1
eating-disorder-awareness-week-2018,johanannc,PennyRed,1
brain-awareness-week-2018,ellenboydwriter,MakeAWishCA,1
wear-purple-for-jia-2018,ctkliverpool,Bexily,1
elf-day,priyankaaddicts,PCsDRAG0N,1
cervical-cancer-prevention-week-2018,derartzt_ama,MayoCancerCare,1
16-days-of-action-2018,mmharrison2014,antonioguterres,1
dementia-action-week-2018,blaenauffestnow,CNCHinkleyPoint,1
mnd-awareness-month-2018,bigronstevenson,MNDAEastSussex,3
wear-purple-for-jia-2018,katie_druce,CapsieNair,1
national-dyslexia-week-2018,krayker,UserZoom,1
mnd-awareness-month-2018,becinmonton,RunMND,1
eating-disorder-awareness-week-2018,margejenny,DrEMcNaught,1
carers-week-2018,carersmatternfk,HappyLittleHugh,1
16-days-of-action-2018,queenserere,Doyna_sn,1
no-smoking-day-2018,sunderland_hour,SunderlandEcho,1
time-to-talk-day-2018,pitcher_lise,DionneKelly10,1
brain-injury-week-2018,anson_mackay,HyphenLaw,1
16-days-of-action-2018,2006_aicha,2MInteractive,1
experience-of-care-week-2018,nobismhealth,EMSsurveyteam,1
stress-awareness-day,cbarriefans,CBarrieFans,1
brain-injury-week-2018,shahnazasghar,Cumbrianeuro,1
time-to-talk-day-2018,feralwrangler,pitcher_lise,1
jeans-for-genes-day,sinsyoongl,MrsAnneTwist,1
wear-purple-for-jia-2018,simonrowlanduk,CRTViewPoint,1
eating-disorder-awareness-week-2018,lhenderson231,YoungMindsUK,1
brain-awareness-week-2018,deastlouisdiv,DEAEdFoundation,1
mental-health-awareness-week-2018,jreli_,JamesMelville,1
ocd-awareness-week-2018,kindagirlonloop,lwbean,1
no-smoking-day-2018,juliemorganlab,tenovuscancer,1
mnd-awareness-month-2018,bridgetcuddihy,NickGoldup1,1
epilepsy-awareness-purple-day-2018,mlweldon5,mlweldon5,1
time-to-talk-day-2018,ironclockworks,The_UnSilent_,1
time-to-talk-day-2018,npjarrowhebburn,northumbriapol,1
carers-week-2018,jonathansly5,Wthomas126,1
wear-purple-for-jia-2018,greekalphabet,Ed_Miliband,1
brain-injury-week-2018,childreninni,cedarfoundation,1
time-to-talk-day-2018,clemesha_alison,2020Comms,2
mnd-awareness-month-2018,xpress_slr,NickGoldup1,1
16-days-of-action-2018,thebrodieboy,ScottishSPCA,1
ocd-awareness-week-2018,lovelydarknight,lwbean,1
time-to-talk-day-2018,dbmathews,The_UnSilent_,1
carers-week-2018,familywork123,CarersUK,1
stress-awareness-day,eibhin,natlibscot,1
ocd-awareness-week-2018,synystagaming,lwbean,1
16-days-of-action-2018,melbournegirl,WHVictoria,1
carers-week-2018,copd_research,HelenaFinch,1
mental-health-awareness-week-2018,radonruby,JamesMelville,1
eating-disorder-awareness-week-2018,lisacfogarty,DrEMcNaught,1
stress-awareness-day,anabellebryant,natlibscot,1
time-to-talk-day-2018,brent_nooroa,mitchfaefife,1
national-dyslexia-week-2018,girlnamedsusan,Wordsharkv5,1
elf-day,pippyyeayea,CreditonChamber,1
eating-disorder-awareness-week-2018,hollyhardyy_,PennyRed,1
ocd-awareness-week-2018,meowaaaaaa,lwbean,1
cervical-cancer-prevention-week-2018,dewangga_a_p,MayoCancerCare,1
nutrition-and-hydration-week-2018,mynameisandyj,VParkinson774,1
dry-january-2018,annalb83,ChocTradingCo,1
dementia-action-week-2018,calmtraining1,NHSEnglandLDN,1
carers-week-2018,davegregson401,carersweek,1
brain-injury-week-2018,abilearning,SY_ABIF,3
national-dyslexia-week-2018,oliverjrmay,272BookFaith,1
cervical-cancer-prevention-week-2018,canisgallicus,dublinwellwoman,1
stress-awareness-day,juicerman40,WoodlandTrust,1
carers-week-2018,shakespeareanna,StMichaelsHouse,1
carers-week-2018,melville72,melville72,1
epilepsy-awareness-purple-day-2018,stephen_rs18,stickelet,1
ocd-awareness-week-2018,joon_yonce,lwbean,1
dementia-action-week-2018,bptheyounger,grahamemorris,1
brain-injury-week-2018,headwaycardiff,DannielleL90,1
time-to-talk-day-2018,danskinnerart,The_UnSilent_,1
nutrition-and-hydration-week-2018,alisonlynch65,eg_nurse,1
experience-of-care-week-2018,nicola_mcminn,clairejukesy,1
jeans-for-genes-day,luna1805bella,MrsAnneTwist,3
cervical-cancer-prevention-week-2018,christinacjh69,rdash_nhs,1
16-days-of-action-2018,ourwatchaus,VicCouncils,1
time-to-talk-day-2018,mauriziaferrari,2020Comms,1
wear-purple-for-jia-2018,_caraaaaaaa,Ed_Miliband,1
mnd-awareness-month-2018,vabrownmnd,MNDAEastSussex,1
national-dyslexia-week-2018,beingexample,Wordsharkv5,1
jeans-for-genes-day,trevorclower,chitraacharya,1
eating-disorder-awareness-week-2018,genuinelyjennyx,PHSOmbudsman,1
wear-purple-for-jia-2018,capsienair,JIA_NRAS,1
national-dementia-carers-2018,stw_daa,alzheimerssoc,2
nutrition-and-hydration-week-2018,4jimbob,OurCowMolly,1
nutrition-and-hydration-week-2018,mynameisandyj,YBProgramme,1
dementia-action-week-2018,penn_memory,GoldmanSachs,1
eating-disorder-awareness-week-2018,h75hannah,josiejo_t,1
carers-week-2018,jimmytabuk,theSNP,1
brain-awareness-week-2018,asamiaomame,sitnahs,1
mens-health-week-2018,lgsawyer,HealthCareVoter,1
national-dyslexia-week-2018,nickyj123,Wordsharkv5,1
elf-day,rachiemelbo,heartofacutemed,1
mnd-awareness-month-2018,mndcampaigns,katielouhull,1
16-days-of-action-2018,fleurenewman,CanadaUNGeneva,1
national-dementia-carers-2018,kate4bowdonward,TraffordCarers,1
ocd-awareness-week-2018,liakiren,lwbean,1
rare-disease-day-2018,medicoinquieto,RareDiseases,1
mens-health-week-2018,drgurdeepparhar,VCHhealthcare,1
national-dementia-carers-2018,richardmcoates,alzheimerssoc,1
ocd-awareness-week-2018,sebahazem_,lwbean,1
ocd-awareness-week-2018,denverinfocus,TheOCDStories,1
national-dementia-carers-2018,debswil66,CareQualityComm,1
16-days-of-action-2018,annthomas54,WIS_Adelaide,1
nutrition-and-hydration-week-2018,janehatkins,Joannegough6,1
national-dyslexia-week-2018,jamiehawkins17,ColegSirGar,1
16-days-of-action-2018,susan56319604,ICRW,1
no-smoking-day-2018,djcact,HOSGreenwich,1
eating-disorder-awareness-week-2018,feralwrangler,mcxdermott,4
national-dementia-carers-2018,mazopal,alzheimerssoc,1
rare-disease-day-2018,atthebeach93,RVAwonk,1
stress-awareness-day,cricky36,racingblogger,1
dry-january-2018,chigobigoo,31DOVER,1
mnd-awareness-month-2018,nhcvirtual,MNDAEastSussex,6
eating-disorder-awareness-week-2018,slmccormack2,BryonyEHopkins,1
ovarian-cancer-awareness-month-2018,crukeventseast,CR_UK,1
national-dementia-carers-2018,lydiajoellem,alzheimerssoc,1
time-to-talk-day-2018,pmcevoyclarke,ljmu_HR,1
16-days-of-action-2018,buchananliana,CCYPVictoria,1
rare-disease-day-2018,scottroudebush,PearlJam,1
carers-week-2018,mycthehive,GM_HSC,1
national-dyslexia-week-2018,secretsend2,Cambridge_DRC,1
no-smoking-day-2018,ljw30,UNISON_HS,2
cervical-cancer-prevention-week-2018,dr_tabor,womenshealth,1
mens-health-week-2018,projectvisionhi,visioncareuk,1
stress-awareness-day,aknight98,oldbob1944,1
wear-purple-for-jia-2018,irongirl_1804,Ed_Miliband,1
brain-injury-week-2018,peterrobinson86,cbituk,1
wear-purple-for-jia-2018,simonrowlanduk,_SimonDean_,1
carers-week-2018,carer49,ja54kki,1
cervical-cancer-prevention-week-2018,acs_illinois,ACS_California,1
carers-week-2018,mduk_jackiem,Sibs_uk,1
no-smoking-day-2018,darshannegandhi,PSNCNews,1
dementia-action-week-2018,youth_ncds,EustacedeSousa,1
eating-disorder-awareness-week-2018,heartsetonlivin,JadeP31,1
mnd-awareness-month-2018,edgeywoo,Helping_HandsUK,1
wear-purple-for-jia-2018,taxbuzzuk,kccakes_KPegg,1
mens-health-week-2018,coolmentoring,safefood_eu,1
16-days-of-action-2018,agungwidrajat,UN_Women,2
dementia-action-week-2018,cornexchange,AvrilChaffeyPR,1
jeans-for-genes-day,hazzaftpizzas,MrsAnneTwist,1
time-to-talk-day-2018,pitcher_lise,SterlingJoy94,1
experience-of-care-week-2018,katiemooreppi,CarersUK,1
cervical-cancer-prevention-week-2018,carlathomas29,CCCNHS,1
ocd-awareness-week-2018,0en0philliac,lwbean,1
elf-day,cumbriasellseek,NHSCumbriaCCG,1
national-dyslexia-week-2018,someonessuperh1,tes,1
brain-awareness-week-2018,joanstrassmann,ibiology,1
stress-awareness-day,oordayhascome,The45Storm,1
national-dementia-carers-2018,cpneame13,DementiaUK,1
dementia-action-week-2018,robinpaulinman,VerityLongley,1
elf-day,conniemccain3,JakeRod76410144,1
carers-week-2018,borntoosoonkh,OSF_Charity,1
brain-awareness-week-2018,naogong,LundbeckUS,1
national-dementia-carers-2018,indignation75,WYP_MOwens,1
wear-purple-for-jia-2018,suter_ruth,Ed_Miliband,1
experience-of-care-week-2018,ngageithealth,metrohealthCLE,1
mens-health-week-2018,lafg46,HealthCareVoter,1
brain-awareness-week-2018,grifc15,ARUKnews,1
mnd-awareness-month-2018,whiterecuk,Vicky_100K4MNDA,1
ovarian-cancer-awareness-month-2018,deecalhounsmhn,KUHospital,1
ocd-awareness-week-2018,lisajanssens,lwbean,1
epilepsy-awareness-purple-day-2018,borstkenna,cavs,1
mnd-awareness-month-2018,plymouthchaz,MNDeventsPlym,1
brain-awareness-week-2018,alyse01001,ScientifixAU,1
mental-health-awareness-week-2018,coolmentoring,mh_fightx,1
epilepsy-awareness-purple-day-2018,uncleprober,ChantalSpittles,1
brain-awareness-week-2018,mariateresaes,UoR_LifeScience,1
mens-health-week-2018,coolmentoring,RendezvousEnNY,1
brain-injury-week-2018,hsswyoungadults,1HannahCarr,1
stress-awareness-day,emlouise1314,Edu_Broker,1
dry-january-2018,vale93ita,DrinkTg,1
carers-week-2018,ireneblackberry,alzheimerssoc,1
epilepsy-awareness-purple-day-2018,drpkrsingh,OntariosDoctors,1
national-dyslexia-week-2018,fayly_vintage,272BookFaith,1
national-dyslexia-week-2018,waterstonescamb,roos_sascha,1
eating-disorder-awareness-week-2018,monjensen,allontheboard,1
ovarian-cancer-awareness-month-2018,quirkyinspired,Nightowlmama,1
experience-of-care-week-2018,jasonawolf,NSWCEC,1
epilepsy-awareness-purple-day-2018,meerkatroofs,amymayw,1
dementia-action-week-2018,careengland,6CsLive,1
16-days-of-action-2018,earlgrey39_lisa,rapecrisisscot,1
jeans-for-genes-day,dammit_hoppus,MrsAnneTwist,1
rare-disease-day-2018,laurarose8600,RVAwonk,1
experience-of-care-week-2018,nobismhealth,clairejukesy,1
wear-purple-for-jia-2018,jenniej95408140,TopMarkNorwich,1
mens-health-week-2018,drsfrees,Uroweb,1
carers-week-2018,frankanderrol,KirkandBert,1
national-dementia-carers-2018,purehomecare,alzheimerssoc,1
national-dyslexia-week-2018,arkelldyslexia,BarringtonStoke,1
jeans-for-genes-day,exttupido,MrsAnneTwist,1
brain-injury-week-2018,bsuhsimulation,NeuroBSUH,1
epilepsy-awareness-purple-day-2018,makkotwitt,nkstnbkz,1
ocd-awareness-week-2018,banished_away,lwbean,1
epilepsy-awareness-purple-day-2018,diannemariebat2,MichaelFitzOCSB,1
elf-day,mariajames51,ThomasDuntonLaw,1
dry-january-2018,h_igoe,31DOVER,1
epilepsy-awareness-purple-day-2018,tess03_v,NoInvisibles,1
mnd-awareness-month-2018,davidball1978,QSPrivateHealth,1
cervical-cancer-prevention-week-2018,laura_ginesi,Claire_Marie_83,1
dementia-action-week-2018,mental_in_devon,AgeUKexeter,1
national-dementia-carers-2018,homecomingquee6,alzheimerssoc,1
elf-day,jeanarched,thesovrangroup,1
nutrition-and-hydration-week-2018,wardleygatecare,celecko,1
elf-day,anniecw67,OT_EmmaLouise,1
elf-day,gmmh_nhs,Laura_Tierney87,1
elf-day,devansnhs,heartofacutemed,1
mens-health-week-2018,t_mj_b,Wellbeing_Suff,1
ocd-awareness-week-2018,alhernandezart,lwbean,1
16-days-of-action-2018,for_initiative,CFundAdvocates,1
national-dementia-carers-2018,blinkbacknow,alzheimerssoc,1
elf-day,dianepittard,HHFTnhs,1
mens-health-week-2018,nataliembarker,YoungMindsUK,1
stress-awareness-day,cdavidge,CoastlneConsult,1
stress-awareness-day,hynfrizz,WorkBetterDay,1
mental-health-awareness-week-2018,lucym00se,JamesMelville,1
national-dementia-carers-2018,katiehawkins91,SamBradley40,1
cervical-cancer-prevention-week-2018,tgachille,zopitaux,1
dementia-action-week-2018,tracybullock12,MidCheshireNHS,1
national-dementia-carers-2018,carequalitycomm,alzheimerssoc,2
rare-disease-day-2018,whoaman7,MelissaTweets,1
ovarian-cancer-awareness-month-2018,clearyjenny5,NHSEngland,1
brain-awareness-week-2018,dana_fdn,sitnahs,1
stress-awareness-day,philld57,Edu_Broker,1
brain-awareness-week-2018,deb22_,HydroAssoc,1
ovarian-cancer-awareness-month-2018,naomilynch,FelicityBarrTV,1
national-dyslexia-week-2018,aadduk,grooops_uk,1
wear-purple-for-jia-2018,penny_thompson,Ed_Miliband,1
time-to-talk-day-2018,matronlindy,reliefofanxiety,1
epilepsy-awareness-purple-day-2018,shesnotafraidc,gblagden,1
dry-january-2018,beishmania,beefinityviande,1
ovarian-cancer-awareness-month-2018,micheleelliot10,NHSEngland,1
carers-week-2018,minip02,ja54kki,1
epilepsy-awareness-purple-day-2018,samdownie,samdownie,1
brain-injury-week-2018,headwayelondon,HeadwaySuffolk,1
carers-week-2018,joanneproberts,carersweek,1
national-dyslexia-week-2018,psychbgu,Jisc,1
time-to-talk-day-2018,safersolihull,PTwestmidsTEAM,1
mental-health-awareness-week-2018,xancast,JamesMelville,1
mental-health-awareness-week-2018,jidub18,Theresa_Sings,1
ocd-awareness-week-2018,flecha_b,lwbean,1
wear-purple-for-jia-2018,nwacpsg,Ed_Miliband,1
mens-health-week-2018,darrylymca,mentalhealth,1
rare-disease-day-2018,boalsburg2018,realsjsgiovanni,1
no-smoking-day-2018,mariatcurry,publichealthni,1
16-days-of-action-2018,oscar_adria,theCFCR,3
national-dementia-carers-2018,orleanshg,CCranidge,1
ocd-awareness-week-2018,softcannoli,lwbean,1
ocd-awareness-week-2018,sotiroullaleon,GeorgeSomers96,1
16-days-of-action-2018,garyhulme1812,DogsTrust,1
carers-week-2018,edith_conn,GM_HSC,1
mens-health-week-2018,abbottnews,AbbottGlobal,1
carers-week-2018,monicaskennedy,DCPcampaign,1
ovarian-cancer-awareness-month-2018,area24cruk,CR_UK,1
16-days-of-action-2018,mablemuwayi,UN_Women,1
national-dyslexia-week-2018,equaliteach,EqualiTeach,1
national-dementia-carers-2018,hayleym72786649,emmabraz01,1
nutrition-and-hydration-week-2018,bykerhallcare,fellingatecare,1
nutrition-and-hydration-week-2018,jennidomandoman,mynameisAndyJ,1
mental-health-awareness-week-2018,nuttyhamster_5,JamesMelville,1
elf-day,tanyapetkova5,PCsDRAG0N,1
dry-january-2018,missrebel13,31DOVER,1
nutrition-and-hydration-week-2018,mynameisandyj,sarah_janemad,1
no-smoking-day-2018,sotcitycouncil,HealthySoT,1
16-days-of-action-2018,berenicecaamal2,almeyda64,1
16-days-of-action-2018,sthephora,WRInitiative,1
16-days-of-action-2018,becauseimamanzw,MenEngage,1
epilepsy-awareness-purple-day-2018,jackbaldwin1972,quest_students,1
16-days-of-action-2018,paulinefrmnd,NRL,1
jeans-for-genes-day,mochisandcream,MrsAnneTwist,1
national-dyslexia-week-2018,mr_robwade,thinkpix_suze,1
mental-health-awareness-week-2018,coolmentoring,BartonHealth,1
carers-week-2018,dundeesnp,theSNP,1
experience-of-care-week-2018,voicesofms,HelenKaragio,1
wear-purple-for-jia-2018,debbie_fearon,VersusArthritis,1
epilepsy-awareness-purple-day-2018,atiqah_rani,JennieJacques1,1
rare-disease-day-2018,lasehrman,RareDiseases,1
ocd-awareness-week-2018,theodorasee,lwbean,1
eating-disorder-awareness-week-2018,andressaandrd,AndressaWriter,1
mental-health-awareness-week-2018,laurapedirose,MsMollyRachael,1
brain-awareness-week-2018,emmadragon,MSIntFederation,1
nutrition-and-hydration-week-2018,mynameisandyj,WillowdaleRH,1
stress-awareness-day,suor_gersomina,DonkeySanctuary,1
elf-day,bazdobbs,EddieStobartCom,1
16-days-of-action-2018,orkneyrsas,SWRC_,1
epilepsy-awareness-purple-day-2018,bsyngap,bsyngap,1
stress-awareness-day,jinty85,Edu_Broker,1
16-days-of-action-2018,paulaglloret,UN_Women,1
no-smoking-day-2018,1234devine,YSmokefree,1
ovarian-cancer-awareness-month-2018,twarrestrial,FelicityBarrTV,1
national-dementia-carers-2018,keeleymp,alzheimerssoc,1
carers-week-2018,janedanforth,Familywork123,1
no-smoking-day-2018,dampffreiheit,DampfFreiheit,1
elf-day,jayalle78034329,ReallyEW,1
nutrition-and-hydration-week-2018,nobismhealth,HannahLHartnett,1
eating-disorder-awareness-week-2018,aoifs8,EDAbelfast,1
eating-disorder-awareness-week-2018,parentsvoicewor,CAMHS_CEDSworcs,1
national-dyslexia-week-2018,light_green_ts,SynFutures,1
time-to-talk-day-2018,pitcher_lise,edactivistmum,3
rare-disease-day-2018,boltgrrl,ChelseaClinton,1
no-smoking-day-2018,benniehalfpint,NHS_Lothian,1
ovarian-cancer-awareness-month-2018,sicksicklysher,BethFratesMD,1
elf-day,priyankasouthin,PCsDRAG0N,1
jeans-for-genes-day,shattabanda,MichaelDapaah,1
national-dyslexia-week-2018,ukdavesibley,joanna_ball,1
nutrition-and-hydration-week-2018,jennaedel1,WhippsDietitian,1
mens-health-week-2018,arupaccessible,mentalhealth,1
rare-disease-day-2018,jbaileymd,RVAwonk,1
stress-awareness-day,derekjohnbryant,PulpLibrarian,1
cervical-cancer-prevention-week-2018,1cervical,JoTrust,1
mens-health-week-2018,mehr1amritsar,SamaritansIRL,1
jeans-for-genes-day,styleskitten2,MrsAnneTwist,1
ocd-awareness-week-2018,almohada001,lwbean,1
no-smoking-day-2018,djameson_hh,HaltonHousing,1
16-days-of-action-2018,leolibrarian,EmmaReadyBgirl,1
mnd-awareness-month-2018,hazelskel53,MNDeventsPlym,1
dementia-action-week-2018,compege_,AvrilChaffeyPR,1
dementia-action-week-2018,bihimassoc,ActionOnHearing,1
mental-health-awareness-week-2018,grac3ivy,JamesMelville,1
nutrition-and-hydration-week-2018,karenjthomas67,MalnutritionTF,1
16-days-of-action-2018,teacle1,DogsTrust,1
cervical-cancer-prevention-week-2018,chris_g_smith1,sloan_kettering,1
ocd-awareness-week-2018,nagilittle,lwbean,1
dry-january-2018,loubyloux584,31DOVER,1
16-days-of-action-2018,ginadaviesp51,SarahChampionMP,1
nutrition-and-hydration-week-2018,mynameisandyj,eg_nurse,1
elf-day,jodieh1131,thesovrangroup,1
mnd-awareness-month-2018,kristind488,QSPrivateHealth,1
brain-awareness-week-2018,mariateresaes,AmilaSuljevic,1
brain-injury-week-2018,peterafreeman,HyphenLaw,1
experience-of-care-week-2018,med_city_health,MedCArlington,2
brain-awareness-week-2018,sciences_ouest,Espace_sciences,1
stress-awareness-day,potam1304,lorritamall,1
national-dyslexia-week-2018,connieinman,Petersbooks,1
carers-week-2018,trevorclower,JaneDanforth,1
no-smoking-day-2018,melinsharon,HelpMeQuitWales,1
nutrition-and-hydration-week-2018,mynameisandyj,Milkibaby,1
rare-disease-day-2018,paulgmcnamara,AddisonsUK,1
mental-health-awareness-week-2018,laurenpez6,JamesMelville,1
experience-of-care-week-2018,boissyad,Kowalski2086,1
nutrition-and-hydration-week-2018,sianmorganb,J_Matthews_Art,1
no-smoking-day-2018,hadrianunit,CPFTNHS,1
brain-awareness-week-2018,oficialcucs,edu_neuro,1
mens-health-week-2018,relayadaircomo,AmericanCancer,1
nutrition-and-hydration-week-2018,tillyboss,EarleyTracy,2
epilepsy-awareness-purple-day-2018,ablue2000,LLSJ_Jess,1
carers-week-2018,pearson17colin,CarersTrust,1
mens-health-week-2018,mikeroussell,PistachioPower,1
national-dyslexia-week-2018,lydiabparker,soundcube,1
stress-awareness-day,mataformigues,_youhadonejob1,1
dementia-action-week-2018,wrx_labour,lesley4wrexham,1
brain-awareness-week-2018,roswitamind,ELSneuroscience,1
cervical-cancer-prevention-week-2018,pussinpjs1,samyarwood89,1
mental-health-awareness-week-2018,juliebarrero7,TheRoyalBallet,1
ovarian-cancer-awareness-month-2018,parkwoodfriends,NHSEngland,1
nutrition-and-hydration-week-2018,kimpantoniou,Kafoodle,2
dry-january-2018,ukraines,ChocTradingCo,1
time-to-talk-day-2018,crowpowd3r,TheSportsman,1
mens-health-week-2018,conorfeeney83,VersusArthritis,1
wear-purple-for-jia-2018,themiliverse,Ed_Miliband,1
eating-disorder-awareness-week-2018,mollie_lizzie91,beatED,1
brain-awareness-week-2018,thehitman29,modcanada,1
stress-awareness-day,myprepacademy,calm,1
ovarian-cancer-awareness-month-2018,justsewhelen,JustSewHelen,1
nutrition-and-hydration-week-2018,mynameisandyj,CHCMSCanada,1
jeans-for-genes-day,fcsouza0301,MrsAnneTwist,1
16-days-of-action-2018,persiepooch,CambsCops,1
experience-of-care-week-2018,brandon_seier,SRMC_VA,1
dry-january-2018,jaz1_k,DrinkTg,1
ocd-awareness-week-2018,melophilic,lwbean,1
rare-disease-day-2018,mm6481,beatrizbecerrab,1
mnd-awareness-month-2018,moominwitch,MNDAEastSussex,3
wear-purple-for-jia-2018,jia_matters,samjc1976,1
national-dementia-carers-2018,suttoncarers,alzheimerssoc,2
mnd-awareness-month-2018,petersutton81,QSPrivateHealth,2
jeans-for-genes-day,chrishatton29,BPCollinsLaw,1
mental-health-awareness-week-2018,stevenmaxson,annavkent,1
mental-health-awareness-week-2018,realtarx9,VictoriaAtkin,1
experience-of-care-week-2018,liatfromoz,HelenKaragio,1
national-dyslexia-week-2018,ovendenlaura,TeachPrimary,1
no-smoking-day-2018,harrogatenhsft,NorthYorks_SFL,1
brain-awareness-week-2018,scrubdepot,VanIslandHealth,1
brain-awareness-week-2018,neuro_lover,neuroscience,1
no-smoking-day-2018,bblogrt,Rachael_Stray,2
ocd-awareness-week-2018,princesazerda,lwbean,1
16-days-of-action-2018,maeve_unimelb,kNOwVAWdata,1
mens-health-week-2018,orchard363,Mick_Finnegan,1
rare-disease-day-2018,surrogacylawyer,the2weekwait,1
no-smoking-day-2018,healthtrainers1,HumberNHSFT,1
ovarian-cancer-awareness-month-2018,soca2k2,drwalker_rph,1
elf-day,ulsu_welfare,AlzheimersLincs,1
wear-purple-for-jia-2018,jenniej95408140,JIA_Matters,1
dementia-action-week-2018,smay54may,createdhub,1
dry-january-2018,sassie_clarke,ChocTradingCo,1
carers-week-2018,eva_gbtheatre,HappyLittleHugh,1
